rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27800,23339,2812,18936,10,4
27800,2812,17839,13885,133,120
27801,31699,17839,19885,41,65
27801,31699,2812,25112,84,82
27801,23339,17839,19885,128,128
27801,23339,2812,25086,9,1
27801,2259,17839,19858,245,235
27801,2259,2812,25110,134,132
27801,2812,17839,19866,70,49
27802,31699,17839,25873,198,228
27802,31699,2812,30748,84,84
27802,2259,17839,25840,145,172
27802,2259,2812,30740,130,120
27802,23339,17839,25885,34,51
27802,23339,2812,30718,9,12
27802,2812,17839,25864,171,208
27803,31699,17839,31834,159,158
27803,31699,2812,36888,82,84
27803,2259,17839,31819,60,84
27803,2259,2812,36883,120,141
27803,23339,17839,31821,11,15
27803,23339,2812,36857,12,19
27803,2812,17839,31821,136,125
27804,31699,17839,37837,44,77
27804,31699,2812,43034,84,79
27804,23339,17839,37806,147,207
27804,23339,2812,43005,11,253
27804,2259,17839,37797,5,36
27804,2259,2812,43028,125,134
27804,2812,17839,37805,21,76
27805,31699,17839,43806,31,27
27805,31699,2812,48659,85,85
27805,23339,17839,43797,140,116
27805,23339,2812,48633,9,15
27805,2259,17839,43781,202,216
27805,2259,2812,48659,120,130
27805,2812,17839,43778,3,248
27806,31699,17839,49784,165,207
27806,31699,2812,54811,90,81
27806,2259,17839,49754,107,120
27806,2259,2812,54810,133,129
27806,23339,17839,49801,252,249
27806,23339,2812,54781,17,4
27806,2812,17839,49762,188,171
27807,31699,17839,55764,54,20
27807,31699,2812,60954,88,89
27807,23339,17839,55772,158,102
27807,23339,2812,60924,2,10
27807,2259,17839,55743,229,212
27807,2259,2812,60950,125,128
27807,2812,17839,55755,27,248
27808,31699,17839,61754,161,184
27808,31699,2812,1559,83,83
27808,2259,17839,61715,99,99
27808,2259,2812,1558,135,126
27808,23339,17839,61762,219,249
27808,23339,2812,1529,18,3
27808,2812,17839,61735,136,145
27809,31699,17839,2703,47,42
27809,31699,2812,7194,82,84
27809,23339,17839,2691,144,141
27809,23339,2812,7165,8,23
27809,2259,17839,2685,230,226
27809,2259,2812,7187,120,135
27809,2812,17839,2711,26,244
27810,31699,17839,8685,173,201
27810,31699,2812,13335,87,90
27810,23339,17839,8691,38,20
27810,23339,2812,13305,16,8
27810,2259,17839,8659,123,111
27810,2259,2812,13339,134,135
27810,2812,17839,8668,196,168
27811,31699,17839,14674,68,82
27811,31699,2812,19479,86,81
27811,2259,17839,14640,5,41
27811,2259,2812,19474,129,139
27811,23339,17839,14687,141,151
27811,23339,2812,19454,6,7
27811,2812,17839,14655,39,74
27812,31699,17839,20642,225,247
27812,31699,2812,25627,77,91
27812,2259,17839,20611,155,174
27812,2259,2812,25619,140,135
27812,23339,17839,20627,77,98
27812,23339,2812,25593,20,12
27812,2812,17839,20628,210,215
27813,31699,17839,26635,159,177
27813,31699,2812,31767,90,90
27813,2259,17839,26601,86,125
27813,2259,2812,31763,127,128
27813,23339,17839,26629,236,16
27813,23339,2812,31737,5,11
27813,2812,17839,26607,116,201
27814,31699,17839,32605,113,81
27814,31699,2812,37912,88,83
27814,2259,17839,32571,43,33
27814,2259,2812,37910,132,128
27814,23339,17839,32590,208,213
27814,23339,2812,37886,10,11
27814,2812,17839,32587,98,78
27815,31699,17839,38594,207,188
27815,31699,2812,43543,82,82
27815,2259,17839,38555,160,155
27815,2259,2812,43547,134,127
27815,23339,17839,38593,39,68
27815,23339,2812,43518,22,7
27815,2812,17839,38574,174,216
27816,31699,17839,44568,80,54
27816,31699,2812,49690,86,84
27816,2259,17839,44537,18,236
27816,2259,2812,49683,119,134
27816,23339,17839,44560,199,154
27816,23339,2812,49661,254,21
27816,2812,17839,44552,63,33
27817,31699,17839,50557,187,206
27817,31699,2812,55832,80,94
27817,2259,17839,50517,142,121
27817,2259,2812,55826,122,140
27817,23339,17839,50531,21,66
27817,23339,2812,55803,1,16
27817,2812,17839,50519,155,184
27818,31699,17839,56533,73,69
27818,31699,2812,61460,88,87
27818,2259,17839,56507,18,38
27818,2259,2812,61458,136,149
27818,23339,17839,56533,204,161
27818,23339,2812,61437,15,15
27818,2812,17839,56515,61,47
27819,31699,17839,62515,240,28
27819,31699,2812,2074,84,89
27819,2259,17839,62476,176,206
27819,2259,2812,2067,124,128
27819,23339,17839,62488,74,123
27819,23339,2812,2046,12,1
27819,2812,17839,62484,254,12
27820,31699,17839,2962,199,240
27820,31699,2812,8212,82,86
27820,2259,17839,2928,128,180
27820,2259,2812,8215,132,126
27820,23339,17839,2947,21,91
27820,23339,2812,8185,18,10
27820,2812,17839,2940,167,200
27821,31699,17839,8927,197,195
27821,31699,2812,13845,87,86
27821,2259,17839,8903,96,131
27821,2259,2812,13843,135,133
27821,23339,17839,8948,243,8
27821,23339,2812,13821,3,12
27821,2812,17839,8921,152,146
27822,31699,17839,14920,99,134
27822,31699,2812,19991,89,84
27822,2259,17839,14882,48,69
27822,2259,2812,19991,130,129
27822,23339,17839,14900,198,217
27822,23339,2812,19961,21,8
27822,2812,17839,14887,66,145
27823,31699,17839,20889,84,110
27823,31699,2812,26136,88,79
27823,2259,17839,20866,5,62
27823,2259,2812,26134,121,125
27823,23339,17839,20870,190,213
27823,23339,2812,26106,10,14
27823,2812,17839,20877,53,77
27824,31699,17839,26878,247,27
27824,31699,2812,31770,81,88
27824,23339,17839,26851,91,138
27824,23339,2812,31737,255,18
27824,2259,17839,26831,208,207
27824,2259,2812,31772,128,143
27824,2812,17839,26841,13,10
27825,31699,17839,32854,148,147
27825,2259,17839,32828,74,84
27825,2259,2812,37911,141,126
27825,23339,17839,32854,7,229
27825,23339,2812,37881,17,2
27825,2812,17839,32846,124,107
27826,31699,17839,38837,44,83
27826,31699,2812,44058,87,84
27826,2259,17839,38800,243,3
27826,2259,2812,44052,119,128
27826,23339,17839,38804,134,195
27826,23339,2812,44030,3,11
27826,2812,17839,38802,71,60
27827,31699,17839,44817,204,232
27827,31699,2812,49687,85,82
27827,2259,17839,44788,149,175
27827,2259,2812,49684,119,141
27827,23339,17839,44810,57,62
27827,23339,2812,49658,18,15
27827,2812,17839,44793,176,252
27828,31699,17839,50789,147,203
27828,31699,2812,55836,84,83
27828,2259,17839,50753,92,121
27828,2259,2812,55825,136,141
27828,23339,17839,50785,13,21
27828,23339,2812,55802,11,18
27828,2812,17839,50773,152,167
27829,2259,17839,56740,80,118
27829,31699,17839,56771,126,171
27829,31699,2812,61975,88,86
27829,23339,17839,56760,206,29
27829,23339,2812,61950,17,3
27829,2812,17839,56745,119,178
27830,31699,17839,62744,43,67
27830,31699,2812,2068,86,84
27830,2259,17839,62725,213,11
27830,2259,2812,2074,135,132
27830,23339,17839,62739,159,158
27830,23339,2812,2042,17,10
27830,2812,17839,62739,25,43
27831,2259,17839,3152,213,232
27831,31699,17839,3191,4,80
27831,31699,2812,8219,85,86
27831,23339,17839,3192,90,114
27831,23339,2812,8186,8,16
27831,2812,17839,3166,15,51
27832,31699,17839,9172,249,251
27832,31699,2812,14356,83,80
27832,2259,17839,9140,177,202
27832,2259,2812,14358,130,132
27832,23339,17839,9165,93,83
27832,23339,2812,14331,20,4
27832,2812,17839,9159,212,24
27833,2259,17839,15122,115,122
27833,31699,17839,15148,169,204
27833,31699,2812,20501,82,86
27833,23339,17839,15155,11,6
27833,23339,2812,20478,21,11
27833,2812,17839,15137,172,168
27834,31699,17839,21646,72,107
27834,31699,2812,26139,83,82
27834,2259,17839,21613,16,49
27834,2259,2812,26131,129,120
27834,23339,17839,21657,162,183
27834,23339,2812,26110,4,8
27834,2812,17839,21618,55,112
27835,31699,17839,27610,25,34
27835,31699,2812,32280,88,87
27835,2259,17839,27584,199,210
27835,2259,2812,32276,129,140
27835,23339,17839,27593,129,147
27835,23339,2812,32250,20,16
27835,2812,17839,27591,8,14
27836,31699,17839,33603,203,12
27836,31699,2812,38424,79,89
27836,2259,17839,33568,165,177
27836,2259,2812,38423,123,127
27836,23339,17839,33608,40,63
27836,23339,2812,38399,7,10
27836,2812,17839,33581,196,248
27837,31699,17839,39569,173,187
27837,31699,2812,44568,81,92
27837,2259,17839,39543,95,174
27837,2259,2812,44571,132,133
27837,23339,17839,39574,27,27
27837,23339,2812,44538,10,15
27837,2812,17839,39563,158,174
27838,31699,17839,45553,123,204
27838,31699,2812,50708,83,88
27838,23339,17839,45537,206,57
27838,23339,2812,50683,13,6
27838,2259,17839,45525,54,118
27838,2259,2812,50708,141,120
27838,2812,17839,45537,91,177
27839,31699,17839,51534,156,234
27839,31699,2812,56852,88,86
27839,23339,17839,51525,16,74
27839,23339,2812,56831,14,20
27839,2259,17839,51502,93,176
27839,2259,2812,56856,129,127
27839,2812,17839,51503,127,1
27840,31699,17839,58007,195,216
27840,31699,2812,62487,89,83
27840,2259,17839,57984,109,154
27840,2259,2812,62487,123,135
27840,23339,17839,58010,0,72
27840,23339,2812,62463,12,19
27840,2812,17839,57994,176,178
27841,31699,17839,64001,153,204
27841,31699,2812,3095,82,84
27841,23339,17839,63998,215,36
27841,23339,2812,3066,10,4
27841,2259,17839,63964,106,121
27841,2259,2812,3096,116,139
27841,2812,17839,63976,138,175
27842,31699,17839,4435,92,54
27842,31699,2812,9236,83,84
27842,2259,17839,4405,31,29
27842,2259,2812,9240,125,126
27842,23339,17839,4426,212,155
27842,23339,2812,9210,15,12
27842,2812,17839,4421,71,23
27843,31699,17839,10421,205,2
27843,31699,2812,15387,84,83
27843,2259,17839,10386,163,189
27843,2259,2812,15384,133,142
27843,23339,17839,10429,48,64
27843,23339,2812,15358,19,9
27843,2812,17839,10393,221,244
27844,2259,17839,16367,96,100
27844,31699,17839,16404,152,166
27844,31699,2812,21528,83,93
27844,23339,17839,16417,255,218
27844,23339,2812,21498,9,10
27844,2812,17839,16376,126,188
27845,31699,17839,22372,67,73
27845,31699,2812,27675,88,88
27845,2259,17839,22347,246,21
27845,2259,2812,27667,133,133
27845,23339,17839,22374,120,212
27845,23339,2812,27643,19,12
27845,2812,17839,22351,64,54
27846,31699,17839,28360,20,68
27846,31699,2812,33303,81,85
27846,2259,17839,28331,229,28
27846,2259,2812,33300,127,132
27846,23339,17839,28335,132,210
27846,23339,2812,33275,18,17
27846,2812,17839,28336,247,88
27847,31699,17839,34327,46,87
27847,31699,2812,39457,83,75
27847,23339,17839,34318,116,198
27847,23339,2812,39420,7,5
27847,2259,17839,34302,222,25
27847,2259,2812,39451,131,128
27847,2812,17839,34319,9,58
27848,31699,17839,40308,41,123
27848,31699,2812,45595,85,81
27848,23339,17839,40302,141,193
27848,23339,2812,45563,254,15
27848,2259,17839,40274,0,47
27848,2259,2812,45587,128,127
27848,2812,17839,40285,73,111
27849,31699,17839,46284,59,132
27849,31699,2812,51227,85,86
27849,23339,17839,46279,149,200
27849,23339,2812,51194,21,16
27849,2259,17839,46255,236,70
27849,2259,2812,51219,125,120
27849,2812,17839,46263,29,123
27850,31699,17839,52257,108,137
27850,31699,2812,57371,91,85
27850,2259,17839,52224,42,59
27850,2259,2812,57367,115,135
27850,23339,17839,52253,217,221
